이름,부위,설명,URL_1번 이미지,URL_2번 이미지
딥스,삼두/가슴,평행봉을 이용해 상체를 들어 올리며 삼두와 가슴 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Chest_dips_1.svg/640px-Chest_dips_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Chest_dips_2.svg/640px-Chest_dips_2.svg.png
덤벨 레터럴 레이즈,어깨,덤벨을 옆으로 들어 어깨 측면 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Dumbbell-lateral-raises-1.png/640px-Dumbbell-lateral-raises-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Dumbbell-lateral-raises-2.png/640px-Dumbbell-lateral-raises-2.png
인클라인 트라이셉스 익스텐션,삼두,인클라인 벤치에서 팔을 펴며 삼두근을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Incline-triceps-extension-2-1.gif/640px-Incline-triceps-extension-2-1.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Incline-triceps-extension-2-2.gif/640px-Incline-triceps-extension-2-2.gif
머신 딥스,삼두/가슴,머신을 이용해 삼두와 가슴 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Tricep-dips-1.gif/640px-Tricep-dips-1.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Tricep-dips-2.gif/640px-Tricep-dips-2.gif
바벨 핵 스쿼트,전면 허벅지/엉덩이,바벨를 사용해 하체 근육을 집중적으로 강화하는 스쿼트 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Hack-squat-1-856x1024.png/640px-Hack-squat-1-856x1024.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Hack-squat-2-856x1024.png/640px-Hack-squat-2-856x1024.png
트라이셉스 푸쉬다운 (로프),삼두,케이블과 로프를 사용해 삼두근을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Triceps-pushdown-with-rope-1.gif/640px-Triceps-pushdown-with-rope-1.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Triceps-pushdown-with-rope-2.gif/640px-Triceps-pushdown-with-rope-2.gif
시티드 레그 컬,후면 허벅지,앉은 상태에서 후면 허벅지 근육을 자극하는 레그 컬 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Seated-leg-curl-1.png/640px-Seated-leg-curl-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seated-leg-curl-2.png/640px-Seated-leg-curl-2.png
인클라인 체스트 프레스,가슴,인클라인 벤치에서 덤벨이나 바벨을 이용해 가슴 상부 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Incline-chest-press-1.png/640px-Incline-chest-press-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Incline-chest-press-2.png/640px-Incline-chest-press-2.png
에어 바이크,복근/기타,자전거를 타는 동작으로 상체를 트위스트하며 복근과 옆구리를 자극하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Air_bike_1.svg/640px-Air_bike_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Air_bike_2.svg/640px-Air_bike_2.svg.png
와이드 푸쉬업,가슴/어깨,손을 넓게 벌려 푸쉬업을 하며 가슴과 어깨 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/7/74/Push-ups-3-1.png?20101106085813,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Push-ups-3-2.png/640px-Push-ups-3-2.png
레그 프레스,전면 허벅지/엉덩이,기구를 사용해 다리로 중량을 밀어내며 하체 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Leg-press-1-1024x670.png/640px-Leg-press-1-1024x670.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Leg-press-2-1024x670.png/640px-Leg-press-2-1024x670.png
밀리터리 프레스,어깨,서서 바벨이나 덤벨을 위로 밀어 올리며 어깨 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Seated-military-shoulder-press-1.png/640px-Seated-military-shoulder-press-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Seated-military-shoulder-press-2.png/640px-Seated-military-shoulder-press-2.png
벤치 프레스 (덤벨),가슴/삼두,벤치에서 덤벨을 사용해 가슴과 삼두근을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Dumbbell-bench-press-1.png/640px-Dumbbell-bench-press-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Dumbbell-bench-press-2.png/640px-Dumbbell-bench-press-2.png
리어 델토이드 로우 (덤벨),어깨/등,덤벨을 사용해 상체를 앞으로 숙인 상태에서 어깨 후면과 등을 자극하는 로우 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Rear_deltoid_row_dumbbell_1.svg/640px-Rear_deltoid_row_dumbbell_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Rear_deltoid_row_dumbbell_2.svg/640px-Rear_deltoid_row_dumbbell_2.svg.png
스미스 머신 리버스 카프 레이즈,기타,스미스 머신을 사용해 발을 위로 밀며 종아리 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Smith-machine-reverse-calf-raises-1.gif/640px-Smith-machine-reverse-calf-raises-1.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Smith-machine-reverse-calf-raises-2.gif/640px-Smith-machine-reverse-calf-raises-2.gif
푸쉬업,가슴/삼두/어깨,몸을 지탱하고 팔을 구부려 상체를 강화하는 기본적인 체중 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Push-ups-1.png/640px-Push-ups-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Push-ups-2.png/640px-Push-ups-2.png
EZ 바 컬,이두,EZ 바를 사용해 팔의 이두근을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Ez_bar_curl_with_barbell_1.svg/640px-Ez_bar_curl_with_barbell_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Ez_bar_curl_with_barbell_2.svg/640px-Ez_bar_curl_with_barbell_2.svg.png
덤벨 숄더 프레스,어깨,덤벨을 어깨 위로 들어올리며 어깨 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Cuban_dumbbell_press_1.svg/640px-Cuban_dumbbell_press_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Cuban_dumbbell_press_3.svg/640px-Cuban_dumbbell_press_3.svg.png
디클라인 체스트 프레스,가슴,디클라인 벤치에서 바벨을 들어올리며 가슴 하부 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Decline-chest-press-1.png/640px-Decline-chest-press-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Decline-chest-press-2.png/640px-Decline-chest-press-2.png
인클라인 벤치 프레스,가슴,인클라인 벤치에서 바벨을 들어 올리며 가슴 상부 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Wide-grip-lat-pull-down-1.gif/640px-Wide-grip-lat-pull-down-1.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Wide-grip-lat-pull-down-2.gif/640px-Wide-grip-lat-pull-down-2.gif
덤벨 런지,전면 허벅지/엉덩이,덤벨을 들고 런지를 하며 하체 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Rear-lunges-2-1-611x1024.png/640px-Rear-lunges-2-1-611x1024.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Rear-lunges-2-2-611x1024.png/640px-Rear-lunges-2-2-611x1024.png
트라이셉스 푸쉬다운 (케이블),삼두,케이블을 사용해 팔을 펴며 삼두근을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Triceps_pushdown_with_cable_1.svg/212px-Triceps_pushdown_with_cable_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Triceps_pushdown_with_cable_2.svg/640px-Triceps_pushdown_with_cable_2.svg.png
머신 벤치 프레스,가슴,머신을 사용해 가슴 근육을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Machine_bench_press_1.svg/640px-Machine_bench_press_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Machine_bench_press_2.svg/640px-Machine_bench_press_2.svg.png
트라이셉스 익스텐션 머신,삼두,머신을 사용하여 삼두근을 효과적으로 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Triceps-extensions-1.gif/640px-Triceps-extensions-1.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Triceps-extensions-2.gif/640px-Triceps-extensions-2.gif
사이드 플랭크,복근/기타,옆으로 누워서 체중을 지탱하며 복근과 옆구리를 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Side-plank-1.png/640px-Side-plank-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Side-plank-2.png/640px-Side-plank-2.png
와이드 그립 랫 풀다운,등,넓은 그립으로 풀다운 머신을 사용해 등을 강화하는 운동.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Wide-grip-lat-pull-down-1.gif/640px-Wide-grip-lat-pull-down-1.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Wide-grip-lat-pull-down-2.gif/640px-Wide-grip-lat-pull-down-2.gif
레그 레이즈,복근,다리를 들어 올리며 복부 근육을 강화하는 운동,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Leg-raises-1.png/640px-Leg-raises-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Leg-raises-2.png/640px-Leg-raises-2.png
내로우 그립 벤치프레스,삼두/가슴,좁은 그립으로 바벨을 들어올리며 삼두근과 가슴을 강화하는 운동,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Narrow-grip-bench-press-1.png/640px-Narrow-grip-bench-press-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Narrow-grip-bench-press-2.png/640px-Narrow-grip-bench-press-2.png
인클라인 트라이셉스 익스텐션 (바벨),삼두,인클라인 벤치에서 바벨을 사용해 삼두근을 강화하는 운동,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Incline_triceps_extension_with_barbell_1.svg/640px-Incline_triceps_extension_with_barbell_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Incline_triceps_extension_with_barbell_2.svg/640px-Incline_triceps_extension_with_barbell_2.svg.png
프리처 컬,이두,프리처 벤치를 사용해 팔을 지지하고 이두근을 집중적으로 강화하는 운동,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Preacher-curl-1.gif/640px-Preacher-curl-1.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Preacher-curl-2.gif/640px-Preacher-curl-2.gif
시티드 케이블 크런치,복근,케이블을 사용해 앉은 자세에서 복근을 자극하는 운동,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Seated_ab_crunch_with_cable_1.svg/640px-Seated_ab_crunch_with_cable_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Seated_ab_crunch_with_cable_2.svg/640px-Seated_ab_crunch_with_cable_2.svg.png
라잉 리어 레터럴 레이즈,어깨,벤치에 누워 덤벨을 옆으로 들어 올리며 어깨 후면 근육을 자극하는 운동,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Lying-rear-lateral-raise-1.png/640px-Lying-rear-lateral-raise-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Lying-rear-lateral-raise-2.png/640px-Lying-rear-lateral-raise-2.png
푸쉬업 (발 올림),가슴/어깨/삼두,발을 높이 올린 상태에서 푸쉬업을 하여 가슴과 어깨를 강화하는 운동,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Push_up_feet_elevated_2_1.svg/640px-Push_up_feet_elevated_2_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Push_up_feet_elevated_2_2.svg/640px-Push_up_feet_elevated_2_2.svg.png
라잉 레그 컬 머신,후면 허벅지,누운 상태에서 다리를 구부리며 후면 허벅지 근육을 강화하는 운동,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Lying_leg_curl_machine_1.svg/640px-Lying_leg_curl_machine_1.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Lying_leg_curl_machine_2.svg/640px-Lying_leg_curl_machine_2.svg.png
